Category: All categories,,,,,
,,,,,
DMA,Python: (1/1/18 - 7/14/20),Tableau: (1/1/18 - 7/14/20),SQL: (1/1/18 - 7/14/20),JavaScript: (1/1/18 - 7/14/20),HTML: (1/1/18 - 7/14/20)
Lafayette IN,70%,2%,10%,8%,10%
San Francisco-Oakland-San Jose CA,56%,4%,15%,16%,9%
Charlottesville VA,61%,4%,14%,10%,11%
Austin TX,45%,6%,20%,17%,12%
Champaign & Springfield-Decatur IL,65%,2%,14%,9%,10%
Boston MA-Manchester NH,50%,5%,20%,14%,11%
Seattle-Tacoma WA,44%,8%,21%,16%,11%
Santa Barbara-Santa Maria-San Luis Obispo CA,56%,2%,15%,15%,12%
Washington DC (Hagerstown MD),43%,6%,24%,14%,13%
Syracuse NY,61%,3%,14%,10%,12%
Monterey-Salinas CA,56%,2%,13%,14%,15%
San Diego CA,49%,4%,17%,16%,14%
Pittsburgh PA,51%,4%,22%,12%,11%
Denver CO,45%,4%,22%,16%,13%
Lansing MI,49%,4%,24%,11%,12%
Baltimore MD,49%,4%,21%,13%,13%
Portland OR,42%,4%,22%,17%,15%
Gainesville FL,52%,2%,17%,14%,15%
Waco-Temple-Bryan TX,62%,3%,13%,9%,13%
Madison WI,40%,4%,26%,16%,14%
New York NY,43%,5%,24%,15%,13%
Rochester NY,48%,3%,21%,14%,14%
Eugene OR,53%,2%,14%,15%,16%
Raleigh-Durham (Fayetteville) NC,46%,5%,21%,15%,13%
Butte-Bozeman MT,52%,2%,14%,16%,16%
Helena MT,31%,11%,37%,10%,11%
Huntsville-Decatur (Florence) AL,58%,1%,16%,12%,13%
Salt Lake City UT,38%,4%,21%,20%,17%
Springfield-Holyoke MA,56%,3%,16%,12%,13%
Burlington VT-Plattsburgh NY,50%,3%,18%,14%,15%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,45%,4%,24%,13%,14%
Binghamton NY,55%,3%,15%,13%,14%
Tucson (Sierra Vista) AZ,54%,3%,16%,13%,14%
Los Angeles CA,46%,4%,20%,16%,14%
Johnstown-Altoona PA,59%,2%,17%,10%,12%
Hartford & New Haven CT,42%,6%,28%,12%,12%
Detroit MI,46%,3%,23%,14%,14%
Chicago IL,41%,6%,26%,14%,13%
Roanoke-Lynchburg VA,56%,2%,17%,12%,13%
Richmond-Petersburg VA,38%,6%,30%,13%,13%
Peoria-Bloomington IL,41%,5%,25%,14%,15%
Boise ID,39%,4%,25%,16%,16%
Des Moines-Ames IA,36%,4%,31%,15%,14%
Albany-Schenectady-Troy NY,46%,4%,23%,13%,14%
