Category: All categories,,,,,
,,,,,
Region,Python: (1/1/18 - 7/14/20),Tableau: (1/1/18 - 7/14/20),SQL: (1/1/18 - 7/14/20),JavaScript: (1/1/18 - 7/14/20),HTML: (1/1/18 - 7/14/20)
Massachusetts,51%,5%,20%,13%,11%
California,51%,4%,17%,16%,12%
District of Columbia,37%,11%,25%,14%,13%
Washington,43%,7%,21%,17%,12%
Virginia,43%,5%,25%,14%,13%
Oregon,43%,4%,22%,16%,15%
New York,45%,5%,22%,15%,13%
Colorado,44%,4%,21%,17%,14%
Maryland,47%,4%,21%,13%,15%
Utah,38%,4%,21%,20%,17%
New Jersey,42%,5%,25%,14%,14%
New Hampshire,46%,3%,21%,15%,15%
Illinois,43%,6%,25%,13%,13%
Connecticut,41%,6%,28%,12%,13%
Rhode Island,45%,5%,23%,13%,14%
Vermont,45%,3%,19%,16%,17%
Pennsylvania,44%,5%,24%,13%,14%
New Mexico,57%,2%,16%,12%,13%
Minnesota,36%,5%,30%,15%,14%
Iowa,40%,4%,27%,14%,15%
North Carolina,41%,5%,25%,15%,14%
Texas,40%,5%,27%,14%,14%
Idaho,41%,3%,22%,16%,18%
Delaware,45%,4%,23%,12%,16%
Michigan,44%,4%,24%,14%,14%
Arizona,40%,5%,24%,16%,15%
Indiana,42%,4%,23%,15%,16%
Missouri,37%,5%,28%,15%,15%
Montana,43%,4%,21%,16%,16%
Georgia,38%,5%,27%,15%,15%
Kansas,37%,4%,28%,15%,16%
Maine,40%,5%,25%,14%,16%
Wisconsin,35%,4%,29%,16%,16%
Ohio,36%,5%,29%,15%,15%
Alabama,45%,3%,24%,13%,15%
Arkansas,36%,6%,29%,14%,15%
Alaska,44%,3%,25%,12%,16%
Nebraska,32%,5%,31%,16%,16%
Tennessee,37%,5%,29%,14%,15%
South Dakota,37%,2%,28%,14%,19%
Florida,36%,4%,26%,16%,18%
Oklahoma,40%,3%,27%,14%,16%
Hawaii,39%,3%,21%,17%,20%
Wyoming,50%,2%,21%,11%,16%
Nevada,38%,6%,22%,16%,18%
Kentucky,36%,4%,30%,14%,16%
West Virginia,49%,3%,20%,12%,16%
South Carolina,36%,4%,26%,15%,19%
North Dakota,36%,2%,28%,15%,19%
Mississippi,44%,3%,22%,13%,18%
Louisiana,38%,9%,23%,15%,15%
