Category: All categories,,,,,
,,,,,
Week,Python: (United States),Tableau: (United States),SQL: (United States),JavaScript: (United States),HTML: (United States)
1/7/18,67,8,44,31,28
1/14/18,72,8,42,31,29
1/21/18,79,9,47,33,32
1/28/18,83,10,47,34,33
2/4/18,83,9,49,34,33
2/11/18,84,9,48,34,33
2/18/18,79,9,47,33,30
2/25/18,82,9,49,34,31
3/4/18,80,8,48,34,32
3/11/18,78,9,47,31,29
3/18/18,78,9,47,33,30
3/25/18,80,9,48,33,30
4/1/18,80,9,47,33,30
4/8/18,83,9,48,34,31
4/15/18,82,9,50,33,31
4/22/18,82,10,49,33,33
4/29/18,78,9,48,32,31
5/6/18,75,9,48,33,30
5/13/18,73,9,47,32,28
5/20/18,76,9,48,33,30
5/27/18,67,8,40,29,26
6/3/18,76,9,49,32,29
6/10/18,82,9,49,32,28
6/17/18,95,9,49,32,28
6/24/18,80,10,48,32,28
7/1/18,67,7,39,26,24
7/8/18,78,10,47,31,27
7/15/18,76,10,49,32,28
7/22/18,77,9,49,32,26
7/29/18,77,10,48,31,27
8/5/18,76,10,48,31,27
8/12/18,72,10,48,31,28
8/19/18,74,9,47,32,27
8/26/18,79,10,46,31,28
9/2/18,74,8,39,28,26
9/9/18,83,9,46,31,29
9/16/18,87,10,48,33,31
9/23/18,88,10,47,32,30
9/30/18,88,10,47,31,30
10/7/18,92,10,47,32,29
10/14/18,89,10,47,32,29
10/21/18,91,11,48,32,29
10/28/18,90,11,48,32,30
11/4/18,88,10,45,30,27
11/11/18,87,10,46,31,27
11/18/18,66,6,30,23,20
11/25/18,83,9,46,30,29
12/2/18,84,10,47,31,31
12/9/18,80,10,45,31,28
12/16/18,70,8,42,27,25
12/23/18,48,4,20,15,14
12/30/18,59,6,30,21,18
1/6/19,76,10,45,28,26
1/13/19,80,9,44,28,26
1/20/19,83,9,45,28,26
1/27/19,89,10,48,30,28
2/3/19,89,11,47,30,29
2/10/19,93,11,49,30,29
2/17/19,90,10,47,29,27
2/24/19,93,10,48,30,29
3/3/19,88,10,47,29,28
3/10/19,85,10,48,30,28
3/17/19,86,10,48,30,27
3/24/19,86,10,48,30,27
3/31/19,89,11,48,29,28
4/7/19,93,10,48,30,27
4/14/19,90,11,47,29,27
4/21/19,89,10,47,30,28
4/28/19,85,11,47,30,28
5/5/19,83,10,47,30,27
5/12/19,81,11,47,30,27
5/19/19,81,10,47,29,25
5/26/19,78,9,41,26,23
6/2/19,82,11,48,30,25
6/9/19,85,20,51,30,25
6/16/19,88,12,51,29,27
6/23/19,90,11,50,29,27
6/30/19,74,8,37,24,20
7/7/19,88,11,49,30,25
7/14/19,89,11,48,30,25
7/21/19,86,11,46,30,23
7/28/19,86,11,44,29,24
8/4/19,84,11,46,29,25
8/11/19,82,11,52,29,25
8/18/19,83,11,49,29,25
8/25/19,82,10,45,27,25
9/1/19,81,9,38,25,24
9/8/19,94,11,46,29,29
9/15/19,96,11,48,29,29
9/22/19,100,11,49,30,29
9/29/19,99,11,48,29,28
10/6/19,100,11,47,31,29
10/13/19,95,11,46,30,27
10/20/19,96,11,48,30,27
10/27/19,94,10,44,27,25
11/3/19,96,11,47,28,27
11/10/19,93,12,46,29,26
11/17/19,93,12,47,28,27
11/24/19,69,7,30,20,18
12/1/19,85,9,43,26,24
12/8/19,79,9,42,25,25
12/15/19,73,9,40,24,23
12/22/19,47,4,21,14,12
12/29/19,57,5,25,16,15
1/5/20,77,9,42,24,23
1/12/20,84,10,44,26,24
1/19/20,95,9,42,25,24
1/26/20,91,11,46,26,26
2/2/20,94,11,47,28,26
2/9/20,97,11,47,28,27
2/16/20,95,11,46,28,26
2/23/20,99,11,48,28,27
3/1/20,94,10,46,28,26
3/8/20,84,10,43,25,24
3/15/20,76,9,37,23,22
3/22/20,83,10,38,24,25
3/29/20,88,10,39,26,24
4/5/20,92,11,39,27,26
4/12/20,92,10,40,26,26
4/19/20,91,11,39,27,26
4/26/20,90,10,40,27,26
5/3/20,87,10,40,26,27
5/10/20,85,10,39,26,25
5/17/20,85,10,38,25,23
5/24/20,79,9,33,24,22
5/31/20,82,10,38,25,24
6/7/20,85,10,40,26,24
6/14/20,89,10,41,26,25
6/21/20,84,10,39,26,23
6/28/20,79,8,34,24,22
7/5/20,87,11,40,27,24
7/12/20,58,3,12,15,14
