Category: All categories,,,,,
,,,,,
DMA,Gym: (1/1/18 - 7/14/20),Diet: (1/1/18 - 7/14/20),Bicycle: (1/1/18 - 7/14/20),Yoga: (1/1/18 - 7/14/20),Walking: (1/1/18 - 7/14/20)
Glendive MT,,64%,,,36%
Jonesboro AR,18%,41%,4%,12%,25%
Charleston-Huntington WV,11%,43%,5%,13%,28%
Jackson TN,14%,45%,4%,10%,27%
Zanesville OH,14%,44%,4%,15%,23%
Alpena MI,9%,45%,6%,17%,23%
Clarksburg-Weston WV,11%,43%,5%,13%,28%
Bluefield-Beckley-Oak Hill WV,11%,44%,5%,11%,29%
Parkersburg WV,11%,43%,8%,13%,25%
Tyler-Longview(Lufkin & Nacogdoches) TX,18%,43%,5%,12%,22%
Abilene-Sweetwater TX,14%,46%,4%,12%,24%
Joplin MO-Pittsburg KS,14%,43%,6%,12%,25%
Little Rock-Pine Bluff AR,13%,44%,5%,13%,25%
Spokane WA,14%,40%,6%,20%,20%
Boise ID,18%,37%,7%,21%,17%
Cheyenne WY-Scottsbluff NE,23%,38%,6%,15%,18%
Wheeling WV-Steubenville OH,12%,41%,5%,14%,28%
Hattiesburg-Laurel MS,15%,44%,4%,11%,26%
Bowling Green KY,16%,40%,4%,15%,25%
Tri-Cities TN-VA,12%,39%,6%,14%,29%
Jackson MS,16%,45%,4%,11%,24%
"Billings, MT",12%,41%,5%,21%,21%
Meridian MS,14%,47%,5%,11%,23%
Presque Isle ME,14%,43%,7%,14%,22%
Bend OR,17%,31%,7%,30%,15%
Mobile AL-Pensacola (Ft. Walton Beach) FL,16%,40%,6%,16%,22%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,15%,42%,6%,11%,26%
Bangor ME,14%,38%,5%,19%,24%
Sherman TX-Ada OK,13%,45%,5%,11%,26%
Terre Haute IN,12%,42%,7%,13%,26%
Columbus-Tupelo-West Point MS,13%,45%,5%,10%,27%
San Angelo TX,19%,41%,5%,13%,22%
Medford-Klamath Falls OR,14%,39%,7%,19%,21%
Biloxi-Gulfport MS,17%,40%,6%,13%,24%
Juneau AK,14%,34%,6%,24%,22%
Lake Charles LA,19%,43%,6%,12%,20%
Ft. Myers-Naples FL,14%,38%,8%,20%,20%
Quincy IL-Hannibal MO-Keokuk IA,11%,44%,7%,14%,24%
Knoxville TN,18%,38%,5%,13%,26%
Chattanooga TN,16%,39%,6%,14%,25%
Helena MT,17%,36%,5%,21%,21%
Springfield MO,15%,40%,5%,16%,24%
Alexandria LA,21%,40%,4%,11%,24%
Lafayette LA,19%,41%,6%,13%,21%
Monroe LA-El Dorado AR,13%,45%,5%,12%,25%
Dothan AL,17%,41%,4%,12%,26%
Beaumont-Port Arthur TX,20%,43%,5%,10%,22%
Huntsville-Decatur (Florence) AL,18%,39%,5%,12%,26%
Shreveport LA,15%,44%,4%,12%,25%
Twin Falls ID,21%,37%,6%,19%,17%
Nashville TN,18%,37%,5%,17%,23%
Birmingham AL,16%,41%,4%,14%,25%
Lima OH,11%,45%,7%,13%,24%
Wichita Falls TX & Lawton OK,23%,39%,5%,10%,23%
West Palm Beach-Ft. Pierce FL,18%,35%,7%,23%,17%
