Category: All categories,,,,,
,,,,,
Week,Gym: (United States),Diet: (United States),Bicycle: (United States),Yoga: (United States),Walking: (United States)
1/7/18,43,75,7,49,33
1/14/18,44,72,7,47,32
1/21/18,40,72,8,47,32
1/28/18,39,71,8,46,33
2/4/18,37,69,8,43,34
2/11/18,36,65,8,41,37
2/18/18,38,69,8,44,42
2/25/18,37,70,9,42,66
3/4/18,36,66,9,42,44
3/11/18,35,67,9,42,42
3/18/18,35,73,9,42,45
3/25/18,35,79,10,42,47
4/1/18,36,77,12,42,45
4/8/18,35,75,11,41,49
4/15/18,32,71,11,39,59
4/22/18,32,74,12,39,41
4/29/18,32,74,12,39,40
5/6/18,32,73,12,37,35
5/13/18,34,68,12,36,35
5/20/18,34,68,12,38,34
5/27/18,38,67,13,40,38
6/3/18,35,69,13,40,35
6/10/18,35,69,13,40,37
6/17/18,35,68,12,41,33
6/24/18,35,68,12,40,32
7/1/18,38,69,13,40,33
7/8/18,37,73,13,40,33
7/15/18,36,70,13,40,36
7/22/18,36,73,13,41,36
7/29/18,37,69,12,41,33
8/5/18,36,70,12,39,37
8/12/18,36,68,12,40,39
8/19/18,35,66,11,39,36
8/26/18,34,63,10,38,33
9/2/18,35,59,11,37,33
9/9/18,31,57,9,37,32
9/16/18,31,60,10,36,34
9/23/18,31,57,9,36,39
9/30/18,31,58,9,35,45
10/7/18,31,54,9,35,60
10/14/18,29,57,8,34,41
10/21/18,29,53,8,34,40
10/28/18,31,53,8,38,42
11/4/18,31,53,8,37,56
11/11/18,33,50,7,36,45
11/18/18,38,42,8,36,41
11/25/18,35,52,8,37,43
12/2/18,34,50,8,35,34
12/9/18,33,49,8,35,29
12/16/18,34,46,8,35,28
12/23/18,39,57,7,38,30
12/30/18,48,100,8,48,33
1/6/19,43,91,8,46,30
1/13/19,41,79,7,43,30
1/20/19,41,74,7,43,30
1/27/19,38,73,7,41,30
2/3/19,36,71,7,40,33
2/10/19,36,64,7,38,41
2/17/19,39,66,8,40,38
2/24/19,37,65,8,38,37
3/3/19,37,67,8,38,36
3/10/19,36,64,9,37,38
3/17/19,35,64,9,37,38
3/24/19,34,67,10,38,61
3/31/19,34,75,10,37,51
4/7/19,33,68,11,37,36
4/14/19,32,64,11,36,33
4/21/19,31,65,11,34,32
4/28/19,32,63,11,35,31
5/5/19,32,58,11,35,31
5/12/19,33,59,10,34,31
5/19/19,33,58,11,34,32
5/26/19,36,57,11,34,31
6/2/19,36,59,12,36,35
6/9/19,35,56,12,35,32
6/16/19,37,57,11,40,31
6/23/19,36,57,12,37,33
6/30/19,35,54,12,35,36
7/7/19,34,57,12,37,30
7/14/19,34,55,12,37,33
7/21/19,33,56,11,36,33
7/28/19,34,57,12,36,31
8/4/19,35,55,11,36,30
8/11/19,35,56,11,37,35
8/18/19,35,55,11,36,31
8/25/19,34,49,11,34,29
9/1/19,35,49,11,34,37
9/8/19,32,50,9,34,36
9/15/19,31,50,10,34,34
9/22/19,30,50,9,34,34
9/29/19,30,50,9,34,38
10/6/19,30,49,9,34,44
10/13/19,29,47,8,33,37
10/20/19,29,49,8,33,35
10/27/19,29,49,7,32,33
11/3/19,32,49,8,34,32
11/10/19,33,47,7,35,32
11/17/19,38,46,7,36,33
11/24/19,39,40,7,39,33
12/1/19,35,45,7,36,28
12/8/19,33,42,7,34,27
12/15/19,34,40,7,34,26
12/22/19,40,45,7,36,29
12/29/19,46,72,8,45,30
1/5/20,43,73,7,44,29
1/12/20,42,64,8,41,29
1/19/20,42,61,7,41,29
1/26/20,38,58,7,37,29
2/2/20,36,56,7,37,29
2/9/20,35,55,7,35,30
2/16/20,38,61,8,37,33
2/23/20,36,58,7,35,38
3/1/20,35,53,8,34,35
3/8/20,37,45,8,31,33
3/15/20,45,29,8,35,37
3/22/20,28,32,10,38,44
3/29/20,26,33,12,36,40
4/5/20,23,36,14,35,42
4/12/20,23,39,14,35,38
4/19/20,23,42,17,34,37
4/26/20,23,45,18,33,35
5/3/20,26,49,19,31,35
5/10/20,27,48,17,30,32
5/17/20,33,49,19,31,33
5/24/20,30,49,19,29,33
5/31/20,28,45,17,27,31
6/7/20,33,48,17,28,31
6/14/20,34,49,18,29,35
6/21/20,33,49,16,29,32
6/28/20,33,46,16,27,33
7/5/20,31,49,16,27,31
7/12/20,30,51,18,27,34
