Category: All categories,,,,
,,,,
DMA,Prayer: (1/1/18 - 7/14/20),God: (1/1/18 - 7/14/20),Bible: (1/1/18 - 7/14/20),Apocalypse: (1/1/18 - 7/14/20)
Meridian MS,9%,35%,55%,1%
Jackson TN,8%,34%,57%,1%
Columbus-Tupelo-West Point MS,8%,36%,54%,2%
Jackson MS,9%,37%,53%,1%
Hattiesburg-Laurel MS,9%,36%,54%,1%
Greenwood-Greenville MS,12%,38%,49%,1%
Monroe LA-El Dorado AR,10%,38%,51%,1%
Montgomery (Selma) AL,11%,36%,52%,1%
Bluefield-Beckley-Oak Hill WV,8%,37%,53%,2%
Dothan AL,9%,36%,53%,2%
Tyler-Longview(Lufkin & Nacogdoches) TX,9%,36%,53%,2%
Albany GA,10%,37%,52%,1%
Huntsville-Decatur (Florence) AL,8%,36%,54%,2%
Chattanooga TN,8%,38%,53%,1%
Tri-Cities TN-VA,7%,37%,54%,2%
Birmingham AL,10%,37%,52%,1%
Abilene-Sweetwater TX,9%,36%,53%,2%
Little Rock-Pine Bluff AR,8%,38%,52%,2%
Shreveport LA,9%,38%,51%,2%
Macon GA,11%,37%,51%,1%
Alexandria LA,12%,37%,49%,2%
Jonesboro AR,7%,38%,53%,2%
Roanoke-Lynchburg VA,9%,38%,51%,2%
Charleston-Huntington WV,8%,37%,53%,2%
Knoxville TN,8%,37%,53%,2%
Beaumont-Port Arthur TX,12%,36%,50%,2%
Lake Charles LA,15%,35%,49%,1%
Sherman TX-Ada OK,8%,37%,53%,2%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,8%,38%,52%,2%
Springfield MO,8%,39%,51%,2%
Augusta GA,12%,38%,49%,1%
Columbus GA,10%,40%,48%,2%
Memphis TN,11%,39%,49%,1%
Lexington KY,9%,37%,52%,2%
Tulsa OK,9%,39%,50%,2%
Nashville TN,9%,38%,51%,2%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,9%,39%,50%,2%
Greenville-New Bern-Washington NC,10%,39%,49%,2%
Bowling Green KY,9%,38%,51%,2%
Lubbock TX,12%,37%,49%,2%
Columbia SC,10%,41%,47%,2%
Tallahassee FL-Thomasville GA,10%,40%,48%,2%
Waco-Temple-Bryan TX,11%,38%,49%,2%
Wichita Falls TX & Lawton OK,9%,40%,49%,2%
San Angelo TX,12%,37%,49%,2%
Mobile AL-Pensacola (Ft. Walton Beach) FL,10%,39%,49%,2%
Florence-Myrtle Beach SC,10%,39%,49%,2%
Greensboro-High Point-Winston Salem NC,10%,39%,49%,2%
Ft. Smith-Fayetteville-Springdale-Rogers AR,8%,40%,50%,2%
Amarillo TX,11%,38%,49%,2%
Baton Rouge LA,15%,38%,45%,2%
Joplin MO-Pittsburg KS,9%,40%,48%,3%
Oklahoma City OK,9%,39%,49%,3%
North Platte NE,11%,28%,58%,3%
Clarksburg-Weston WV,10%,39%,49%,2%
Harrisonburg VA,9%,38%,50%,3%
Atlanta GA,12%,39%,47%,2%
Savannah GA,11%,40%,47%,2%
Grand Rapids-Kalamazoo-Battle Creek MI,10%,37%,50%,3%
Charlotte NC,10%,40%,48%,2%
Raleigh-Durham (Fayetteville) NC,11%,40%,47%,2%
Dallas-Ft. Worth TX,12%,38%,48%,2%
Parkersburg WV,9%,39%,49%,3%
Panama City FL,10%,39%,49%,2%
