Category: All categories,,,,
,,,,
Region,Prayer: (1/1/18 - 7/14/20),God: (1/1/18 - 7/14/20),Bible: (1/1/18 - 7/14/20),Apocalypse: (1/1/18 - 7/14/20)
Mississippi,10%,36%,53%,1%
Alabama,9%,37%,52%,2%
Arkansas,8%,39%,51%,2%
Tennessee,9%,38%,51%,2%
South Carolina,10%,39%,49%,2%
Oklahoma,9%,40%,49%,2%
Georgia,11%,39%,48%,2%
Kentucky,10%,39%,49%,2%
West Virginia,9%,39%,49%,3%
Louisiana,15%,38%,45%,2%
North Carolina,10%,40%,48%,2%
Texas,14%,38%,46%,2%
Missouri,11%,40%,46%,3%
Virginia,13%,40%,45%,2%
Indiana,11%,41%,45%,3%
Alaska,11%,41%,45%,3%
Kansas,12%,40%,45%,3%
South Dakota,12%,40%,46%,2%
Maryland,15%,41%,42%,2%
Hawaii,13%,44%,41%,2%
Michigan,13%,40%,44%,3%
Florida,12%,42%,44%,2%
Ohio,13%,41%,43%,3%
New Mexico,15%,40%,42%,3%
Delaware,13%,42%,42%,3%
Iowa,11%,41%,45%,3%
Nebraska,13%,40%,44%,3%
Montana,10%,40%,46%,4%
Idaho,10%,44%,43%,3%
North Dakota,14%,42%,41%,3%
Arizona,12%,43%,42%,3%
Pennsylvania,15%,42%,40%,3%
California,13%,45%,39%,3%
Illinois,14%,42%,41%,3%
Wyoming,11%,42%,43%,4%
Washington,12%,44%,41%,3%
Oregon,11%,43%,42%,4%
New Jersey,18%,45%,34%,3%
Minnesota,16%,41%,40%,3%
Utah,14%,52%,30%,4%
Colorado,12%,42%,42%,4%
Nevada,13%,45%,38%,4%
Wisconsin,13%,42%,42%,3%
Connecticut,17%,46%,34%,3%
Rhode Island,16%,48%,32%,4%
District of Columbia,17%,40%,41%,2%
Maine,12%,47%,37%,4%
New York,18%,44%,35%,3%
Massachusetts,17%,48%,31%,4%
New Hampshire,13%,47%,35%,5%
Vermont,14%,50%,31%,5%
