Category: All categories,,,,
,,,,
DMA,recipes: (1/1/18 - 7/15/20),restaurants: (1/1/18 - 7/15/20),delivery: (1/1/18 - 7/15/20),bar: (1/1/18 - 7/15/20)
Bangor ME,18%,15%,6%,61%
Panama City FL,15%,43%,12%,30%
Florence-Myrtle Beach SC,16%,45%,13%,26%
Savannah GA,19%,44%,14%,23%
Charleston SC,19%,39%,15%,27%
Salisbury MD,21%,41%,13%,25%
Ft. Myers-Naples FL,21%,38%,14%,27%
Mobile AL-Pensacola (Ft. Walton Beach) FL,21%,40%,14%,25%
Wilmington NC,22%,38%,15%,25%
New Orleans LA,17%,38%,12%,33%
Palm Springs CA,19%,40%,13%,28%
Orlando-Daytona Beach-Melbourne FL,18%,40%,15%,27%
Las Vegas NV,16%,37%,17%,30%
Chicago IL,18%,36%,14%,32%
Traverse City-Cadillac MI,27%,37%,8%,28%
Nashville TN,18%,37%,14%,31%
Green Bay-Appleton WI,27%,26%,12%,35%
Atlanta GA,18%,39%,14%,29%
Wausau-Rhinelander WI,30%,24%,10%,36%
Tampa-St. Petersburg (Sarasota) FL,21%,35%,16%,28%
Biloxi-Gulfport MS,23%,40%,12%,25%
Jacksonville FL,21%,36%,18%,25%
Denver CO,21%,34%,16%,29%
West Palm Beach-Ft. Pierce FL,19%,34%,19%,28%
Boston MA-Manchester NH,20%,35%,15%,30%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,23%,40%,13%,24%
Honolulu HI,23%,37%,11%,29%
Milwaukee WI,22%,33%,13%,32%
Butte-Bozeman MT,26%,32%,11%,31%
Knoxville TN,22%,39%,14%,25%
Portland-Auburn ME,27%,32%,12%,29%
New York NY,19%,32%,15%,34%
Raleigh-Durham (Fayetteville) NC,21%,38%,14%,27%
Louisville KY,22%,37%,14%,27%
Miami-Ft. Lauderdale FL,13%,37%,17%,33%
Charlotte NC,21%,37%,15%,27%
Cincinnati OH,21%,35%,13%,31%
Cleveland-Akron (Canton) OH,22%,35%,13%,30%
Austin TX,18%,33%,18%,31%
Detroit MI,21%,34%,14%,31%
Madison WI,25%,29%,14%,32%
St. Louis MO,21%,33%,14%,32%
Juneau AK,40%,21%,12%,27%
Minneapolis-St. Paul MN,23%,31%,14%,32%
Norfolk-Portsmouth-Newport News VA,22%,34%,19%,25%
Great Falls MT,36%,24%,10%,30%
Missoula MT,32%,27%,12%,29%
Dallas-Ft. Worth TX,18%,37%,15%,30%
Columbia SC,23%,37%,15%,25%
Hartford & New Haven CT,24%,34%,15%,27%
Rapid City SD,30%,33%,12%,25%
Kansas City MO,22%,33%,16%,29%
Birmingham AL,21%,38%,13%,28%
Providence RI-New Bedford MA,23%,32%,16%,29%
Washington DC (Hagerstown MD),19%,34%,17%,30%
Phoenix AZ,21%,34%,16%,29%
Chattanooga TN,23%,39%,13%,25%
Corpus Christi TX,21%,36%,14%,29%
Portland OR,25%,28%,15%,32%
Little Rock-Pine Bluff AR,25%,38%,12%,25%
Albuquerque-Santa Fe NM,24%,36%,12%,28%
La Crosse-Eau Claire WI,29%,25%,13%,33%
Bowling Green KY,23%,38%,16%,23%
San Antonio TX,18%,34%,16%,32%
"Billings, MT",32%,28%,11%,29%
Columbus OH,21%,34%,16%,29%
Alpena MI,36%,23%,9%,32%
Memphis TN,20%,38%,16%,26%
Springfield MO,27%,35%,14%,24%
Pittsburgh PA,24%,31%,14%,31%
Santa Barbara-Santa Maria-San Luis Obispo CA,23%,35%,14%,28%
Omaha NE,23%,32%,14%,31%
Albany-Schenectady-Troy NY,27%,33%,13%,27%
Duluth MN-Superior WI,29%,27%,12%,32%
Greensboro-High Point-Winston Salem NC,24%,36%,15%,25%
Jackson MS,23%,41%,11%,25%
North Platte NE,30%,35%,12%,23%
Indianapolis IN,23%,34%,17%,26%
Colorado Springs-Pueblo CO,26%,31%,18%,25%
San Diego CA,19%,32%,16%,33%
San Angelo TX,25%,37%,16%,22%
Greenville-New Bern-Washington NC,25%,35%,16%,24%
Columbus GA,22%,37%,17%,24%
Charlottesville VA,25%,35%,16%,24%
Los Angeles CA,17%,30%,17%,36%
Richmond-Petersburg VA,24%,32%,19%,25%
Grand Rapids-Kalamazoo-Battle Creek MI,25%,32%,14%,29%
Casper-Riverton WY,31%,27%,11%,31%
Helena MT,32%,28%,11%,29%
Burlington VT-Plattsburgh NY,31%,31%,11%,27%
Buffalo NY,26%,31%,12%,31%
Glendive MT,37%,26%,9%,28%
Oklahoma City OK,24%,35%,14%,27%
Odessa-Midland TX,19%,36%,16%,29%
Des Moines-Ames IA,25%,32%,15%,28%
Seattle-Tacoma WA,24%,31%,15%,30%
Philadelphia PA,22%,31%,15%,32%
Lake Charles LA,25%,36%,10%,29%
Augusta GA,25%,35%,16%,24%
Montgomery (Selma) AL,23%,38%,13%,26%
Macon GA,24%,38%,14%,24%
Bend OR,28%,30%,14%,28%
Baltimore MD,23%,30%,19%,28%
South Bend-Elkhart IN,26%,33%,13%,28%
Presque Isle ME,39%,19%,7%,35%
Anchorage AK,32%,26%,18%,24%
Toledo OH,25%,32%,14%,29%
Houston TX,19%,33%,15%,33%
Tulsa OK,25%,34%,15%,26%
Tallahassee FL-Thomasville GA,23%,33%,17%,27%
Monterey-Salinas CA,23%,35%,15%,27%
Gainesville FL,22%,32%,21%,25%
Grand Junction-Montrose CO,33%,30%,14%,23%
Marquette MI,32%,27%,9%,32%
Lexington KY,24%,35%,16%,25%
Roanoke-Lynchburg VA,28%,35%,14%,23%
Peoria-Bloomington IL,25%,33%,16%,26%
Columbus-Tupelo-West Point MS,26%,39%,11%,24%
Baton Rouge LA,24%,34%,13%,29%
Minot-Bismarck-Dickinson(Williston) ND,31%,24%,15%,30%
San Francisco-Oakland-San Jose CA,20%,31%,17%,32%
Reno NV,27%,30%,14%,29%
Salt Lake City UT,25%,35%,14%,26%
Huntsville-Decatur (Florence) AL,26%,35%,14%,25%
Lubbock TX,21%,34%,17%,28%
Ft. Wayne IN,26%,33%,11%,30%
Victoria TX,25%,33%,13%,29%
Rochester MN-Mason City IA-Austin MN,29%,31%,12%,28%
Dayton OH,25%,32%,14%,29%
Ft. Smith-Fayetteville-Springdale-Rogers AR,26%,34%,15%,25%
Medford-Klamath Falls OR,32%,30%,13%,25%
Cheyenne WY-Scottsbluff NE,29%,28%,16%,27%
Spokane WA,32%,26%,14%,28%
Hattiesburg-Laurel MS,25%,36%,14%,25%
Rochester NY,28%,30%,13%,29%
Idaho Falls-Pocatello ID,29%,32%,12%,27%
Wilkes Barre-Scranton PA,31%,28%,13%,28%
Flint-Saginaw-Bay City MI,27%,29%,12%,32%
Amarillo TX,26%,34%,13%,27%
Fairbanks AK,32%,25%,18%,25%
Harrisonburg VA,27%,32%,16%,25%
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,27%,30%,16%,27%
Davenport IA-Rock Island-Moline IL,28%,30%,14%,28%
Champaign & Springfield-Decatur IL,26%,32%,16%,26%
Tucson (Sierra Vista) AZ,27%,32%,16%,25%
Fargo-Valley City ND,29%,26%,15%,30%
Watertown NY,34%,26%,14%,26%
Springfield-Holyoke MA,26%,30%,17%,27%
Eureka CA,30%,31%,12%,27%
Sioux Falls(Mitchell) SD,32%,25%,13%,30%
Waco-Temple-Bryan TX,23%,32%,20%,25%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,30%,33%,12%,25%
Rockford IL,26%,29%,15%,30%
Shreveport LA,27%,35%,14%,24%
Lincoln & Hastings-Kearney NE,28%,27%,14%,31%
Eugene OR,30%,26%,16%,28%
Evansville IN,27%,32%,13%,28%
Mankato MN,29%,27%,14%,30%
Abilene-Sweetwater TX,26%,32%,17%,25%
Sherman TX-Ada OK,28%,32%,15%,25%
Wichita-Hutchinson KS,30%,32%,12%,26%
Quincy IL-Hannibal MO-Keokuk IA,32%,29%,11%,28%
Lansing MI,25%,29%,17%,29%
Jackson TN,28%,35%,12%,25%
Albany GA,27%,39%,12%,22%
Tyler-Longview(Lufkin & Nacogdoches) TX,28%,34%,13%,25%
Harrisburg-Lancaster-Lebanon-York PA,29%,30%,14%,27%
Boise ID,28%,27%,16%,29%
Columbia-Jefferson City MO,27%,29%,18%,26%
Dothan AL,28%,34%,13%,25%
Binghamton NY,32%,25%,16%,27%
Topeka KS,29%,28%,17%,26%
Jonesboro AR,28%,35%,15%,22%
Youngstown OH,29%,28%,13%,30%
Alexandria LA,29%,34%,13%,24%
Elmira NY,31%,29%,11%,29%
Lima OH,28%,33%,13%,26%
Erie PA,30%,27%,14%,29%
El Paso TX,21%,30%,15%,34%
Joplin MO-Pittsburg KS,33%,31%,12%,24%
Sioux City IA,32%,25%,11%,32%
Utica NY,30%,29%,14%,27%
Beaumont-Port Arthur TX,27%,32%,14%,27%
Meridian MS,28%,38%,12%,22%
Terre Haute IN,31%,30%,14%,25%
Tri-Cities TN-VA,29%,32%,13%,26%
Twin Falls ID,31%,30%,12%,27%
Lafayette LA,24%,33%,13%,30%
Clarksburg-Weston WV,33%,30%,11%,26%
Syracuse NY,29%,29%,15%,27%
Wichita Falls TX & Lawton OK,27%,31%,18%,24%
Ottumwa IA-Kirksville MO,33%,27%,12%,28%
Chico-Redding CA,30%,24%,15%,31%
Johnstown-Altoona PA,29%,29%,12%,30%
Sacramento-Stockton-Modesto CA,25%,30%,16%,29%
Wheeling WV-Steubenville OH,30%,30%,11%,29%
St. Joseph MO,29%,27%,16%,28%
Monroe LA-El Dorado AR,30%,34%,12%,24%
Parkersburg WV,29%,27%,13%,31%
Lafayette IN,23%,28%,21%,28%
Greenwood-Greenville MS,25%,37%,13%,25%
Zanesville OH,30%,31%,13%,26%
Yakima-Pasco-Richland-Kennewick WA,30%,29%,14%,27%
Bluefield-Beckley-Oak Hill WV,31%,32%,12%,25%
Charleston-Huntington WV,29%,30%,13%,28%
Bakersfield CA,24%,28%,18%,30%
Harlingen-Weslaco-Brownsville-McAllen TX,18%,34%,14%,34%
Fresno-Visalia CA,25%,30%,17%,28%
Yuma AZ-El Centro CA,26%,27%,17%,30%
Laredo TX,17%,34%,18%,31%
