Category: All categories,,,,
,,,,
Region,recipes: (1/1/18 - 7/15/20),restaurants: (1/1/18 - 7/15/20),delivery: (1/1/18 - 7/15/20),bar: (1/1/18 - 7/15/20)
District of Columbia,13%,32%,17%,38%
Maine,25%,26%,10%,39%
South Carolina,21%,40%,14%,25%
Florida,18%,37%,16%,29%
Hawaii,23%,38%,10%,29%
Massachusetts,20%,35%,15%,30%
New York,20%,31%,15%,34%
Illinois,19%,35%,14%,32%
Nevada,18%,35%,17%,30%
Colorado,22%,34%,16%,28%
Wisconsin,25%,30%,12%,33%
Georgia,19%,38%,15%,28%
North Carolina,22%,37%,14%,27%
Tennessee,20%,36%,15%,29%
Minnesota,23%,31%,14%,32%
Rhode Island,22%,32%,15%,31%
Louisiana,21%,36%,12%,31%
Ohio,22%,35%,14%,29%
Connecticut,24%,33%,14%,29%
Michigan,23%,34%,13%,30%
Missouri,23%,33%,15%,29%
New Hampshire,28%,32%,13%,27%
Kentucky,23%,36%,14%,27%
New Mexico,24%,36%,12%,28%
Alabama,23%,37%,13%,27%
Virginia,22%,34%,17%,27%
Montana,31%,27%,11%,31%
Oregon,25%,29%,15%,31%
Arizona,22%,33%,16%,29%
Delaware,25%,33%,17%,25%
Vermont,31%,31%,11%,27%
Mississippi,24%,39%,13%,24%
Texas,19%,34%,16%,31%
Maryland,21%,32%,18%,29%
Arkansas,25%,37%,13%,25%
Wyoming,28%,31%,12%,29%
Indiana,24%,33%,15%,28%
Alaska,33%,25%,17%,25%
Pennsylvania,25%,30%,15%,30%
Oklahoma,25%,35%,14%,26%
Nebraska,25%,30%,14%,31%
New Jersey,22%,32%,16%,30%
California,19%,31%,17%,33%
Kansas,27%,31%,15%,27%
Utah,25%,34%,14%,27%
Washington,26%,29%,15%,30%
Iowa,26%,31%,14%,29%
North Dakota,28%,26%,17%,29%
South Dakota,31%,27%,13%,29%
Idaho,31%,27%,14%,28%
West Virginia,29%,30%,14%,27%
