Category: All categories,,,,
,,,,
Week,recipes: (United States),restaurants: (United States),delivery: (United States),bar: (United States)
1/7/18,51,57,24,58
1/14/18,50,59,25,57
1/21/18,45,59,23,59
1/28/18,46,57,24,60
2/4/18,43,56,25,56
2/11/18,41,70,31,58
2/18/18,41,65,24,59
2/25/18,38,62,24,60
3/4/18,40,65,24,60
3/11/18,40,64,24,62
3/18/18,39,63,24,59
3/25/18,44,68,24,62
4/1/18,39,70,24,60
4/8/18,37,63,23,60
4/15/18,37,63,24,60
4/22/18,35,65,24,60
4/29/18,36,65,24,61
5/6/18,36,69,28,59
5/13/18,34,68,24,59
5/20/18,35,69,23,63
5/27/18,37,76,24,63
6/3/18,36,73,24,64
6/10/18,37,76,26,65
6/17/18,36,77,25,62
6/24/18,38,81,27,64
7/1/18,41,91,26,65
7/8/18,38,87,25,66
7/15/18,39,82,25,67
7/22/18,40,84,26,68
7/29/18,39,80,26,66
8/5/18,39,80,26,64
8/12/18,40,77,25,63
8/19/18,37,71,25,62
8/26/18,37,68,25,59
9/2/18,39,68,25,60
9/9/18,37,61,24,57
9/16/18,36,64,25,61
9/23/18,38,64,25,58
9/30/18,36,63,25,57
10/7/18,39,65,26,59
10/14/18,40,66,25,58
10/21/18,39,60,25,57
10/28/18,40,61,25,59
11/4/18,42,62,25,65
11/11/18,47,62,28,58
11/18/18,57,66,24,58
11/25/18,40,55,25,57
12/2/18,40,59,28,57
12/9/18,44,60,27,58
12/16/18,48,63,29,59
12/23/18,61,100,28,63
12/30/18,55,78,29,64
1/6/19,49,60,25,58
1/13/19,49,60,25,58
1/20/19,46,63,27,58
1/27/19,46,61,29,58
2/3/19,40,61,28,58
2/10/19,40,73,35,60
2/17/19,41,67,28,61
2/24/19,38,64,28,59
3/3/19,39,67,28,62
3/10/19,38,71,27,64
3/17/19,36,71,27,62
3/24/19,35,74,27,62
3/31/19,36,70,27,62
4/7/19,35,65,26,61
4/14/19,39,70,26,61
4/21/19,33,71,25,60
4/28/19,36,68,27,61
5/5/19,35,74,31,62
5/12/19,34,74,28,62
5/19/19,35,72,25,65
5/26/19,34,74,26,65
6/2/19,34,73,26,65
6/9/19,36,80,27,66
6/16/19,37,82,27,66
6/23/19,36,80,27,66
6/30/19,38,85,27,66
7/7/19,36,79,26,65
7/14/19,39,84,27,65
7/21/19,39,84,27,67
7/28/19,37,83,28,67
8/4/19,37,80,27,64
8/11/19,39,80,27,65
8/18/19,38,73,26,62
8/25/19,35,67,25,60
9/1/19,36,66,25,60
9/8/19,35,61,24,60
9/15/19,36,65,25,60
9/22/19,36,65,25,61
9/29/19,37,65,25,61
10/6/19,38,67,25,60
10/13/19,40,68,26,59
10/20/19,41,64,26,60
10/27/19,40,62,27,57
11/3/19,41,66,27,58
11/10/19,43,64,27,59
11/17/19,45,60,26,58
11/24/19,52,68,26,58
12/1/19,38,56,27,56
12/8/19,40,59,28,56
12/15/19,45,63,30,58
12/22/19,58,100,31,65
12/29/19,56,81,30,66
1/5/20,49,61,27,58
1/12/20,46,61,28,60
1/19/20,46,65,29,62
1/26/20,43,60,27,60
2/2/20,39,62,29,59
2/9/20,40,79,38,63
2/16/20,40,68,30,64
2/23/20,38,65,28,63
3/1/20,36,62,28,60
3/8/20,36,55,31,54
3/15/20,43,65,58,44
3/22/20,53,31,67,38
3/29/20,58,26,73,37
4/5/20,63,26,75,39
4/12/20,57,29,56,41
4/19/20,56,29,50,43
4/26/20,55,34,48,43
5/3/20,55,40,56,46
5/10/20,50,44,44,47
5/17/20,50,47,40,50
5/24/20,47,52,37,51
5/31/20,43,55,36,50
6/7/20,44,63,34,56
6/14/20,45,65,34,59
6/21/20,44,65,35,57
6/28/20,48,64,36,57
7/5/20,45,63,35,54
7/12/20,49,63,36,56
