Rank,Company,Growth,Industry,Revenue ($M),State,City,Metro,Times on List
1,Freestar,"36,680%",Advertising & Marketing,36.86,Arizona,Phoenix,Phoenix,1
2,FreightWise,"30,548%",Logistics & Transportation,33.64,Tennessee,Brentwood,Nashville,1
3,Cece's Veggie,"23,880%",Food & Beverage,24.94,Texas,Austin,Austin,1
4,LadyBoss,"21,850%",Consumer Products & Services,32.37,New Mexico,Albuquerque,"Albuquerque,NM",1
5,Perpay,"18,166%",Retail,22.49,Pennsylvania,Philadelphia,Philadelphia,1
6,Cano Health,"14,183%",Health,271.76,Florida,Miami,Miami,1
7,Bear Mattress,"13,481%",Consumer Products & Services,20.54,New Jersey,Hoboken,New York,1
8,Connected Solutions Group,"12,701%",Telecommunications,23.26,Virginia,Mechanicsville,Richmond,1
9,Providence Healthcare Management,"12,565%",Health,225.92,Ohio,Cleveland,Cleveland,1
10,NOM,"11,996%",Advertising & Marketing,21.42,California,Los Angeles,Los Angeles,1
11,NuLeaf Naturals,"11,949%",Consumer Products & Services,13.87,Colorado,Denver,Denver,1
12,Urgently,"11,633%",Logistics & Transportation,30.28,Virginia,Vienna,"Washington,DC",1
13,nutpods,"11,623%",Food & Beverage,19.15,Washington,Bellevue,Seattle,1
14,YieldStreet,"10,562%",Financial Services,19.11,New York,New York,New York,1
15,MuteSix,"10,176%",Advertising & Marketing,17.28,California,Los Angeles,Los Angeles,3
16,Anchor Worldwide,"9,753%",Advertising & Marketing,10.65,New York,New York,New York,1
17,LendingPoint,"9,265%",Financial Services,105.80,Georgia,Kennesaw,Atlanta,1
18,With Clarity,"9,179%",Consumer Products & Services,19.01,New York,New York,New York,1
19,Sonendo,"8,657%",Health,24.40,California,Laguna Hills,Los Angeles,1
20,Kindred Bravely,"8,544%",Consumer Products & Services,9.64,California,Oceanside,San Diego,1
21,Tailor Made Compounding,"8,327%",Health,10.24,Kentucky,Nicholasville,"Lexington-Fayette,KY",1
22,SD3IT,"8,283%",Computer Hardware,11.86,Florida,The Villages,"The Villages,FL",1
23,ConvertKit,"7,966%",Software,13.76,Idaho,Boise,Boise City,2
24,Printify,"7,926%",Software,10.51,California,San Francisco,San Francisco,1
25,Awardco,"7,478%",Software,8.91,Utah,Orem,Provo,1
26,Pegasus Optimization Managers,"7,427%",Energy,128.18,Texas,College Station,"College Station-Bryan,TX",1
27,FITT Scientific,"7,329%",Government Services,15.78,Virginia,Colonial Heights,Richmond,1
28,Amherst Madison,"7,301%",Real Estate,7.83,Idaho,Boise,Boise City,2
29,LumenAd,"7,045%",Software,11.76,Montana,Missoula,"Missoula,MT",1
30,Bendcare,"6,900%",Health,155.99,Florida,Boca Raton,Miami,1
31,The Welfont Companies,"6,871%",Real Estate,20.45,Florida,Tampa,Tampa,2
32,Skinny Dipped,"6,642%",Consumer Products & Services,10.21,Washington,Seattle,Seattle,1
33,RDI Technologies,"6,493%",Manufacturing,7.21,Tennessee,Knoxville,"Knoxville,TN",1
34,Limited Run Games,"6,388%",Media,20.75,North Carolina,Apex,Raleigh,1
35,SwanLeap,"6,383%",Software,162.57,Wisconsin,Madison,Madison,3
36,VESTA Modular,"6,337%",Construction,48.94,Michigan,Southfield,Detroit,1
37,H&C Animal Health,"6,287%",Consumer Products & Services,23.97,Colorado,Parker,Denver,1
38,Homesnap,"6,177%",Real Estate,17.50,Maryland,Bethesda,"Washington,DC",2
39,Paradigm Construction,"6,145%",Construction,45.22,Texas,The Woodlands,Houston,2
