id,rank,workers,company,state,state,city,metro,growth,revenue,industry,yrs_on_list
22890,1,227,Fuhu,California,CA,El Segundo,Los Angeles,158956.9106,195640000,Consumer Products & Services,2
25747,2,191,Quest Nutrition,California,CA,El Segundo,Los Angeles,57347.9246,82640563,Food & Beverage,1
25643,3,145,Reliant Asset Management,Virginia,VA,Arlington,Washington DC,55460.1646,85076502,Business Products & Services,1
26098,4,62,Superfish,California,CA,Palo Alto,San Jose,26042.963,35293000,Software,1
26182,5,92,Acacia Communications,Massachusetts,MA,Maynard,Boston,20690.4578,77652360,Telecommunications,1
22913,6,50,Provider Power,Maine,ME,Auburn,Lewiston-Auburn ME,19876.5169,137977203,Energy,2
22937,7,129,Crescendo Bioscience,California,CA,South San Francisco,San Francisco,18375.0693,27308000,Health,2
25413,8,130,Plexus Worldwide,Arizona,AZ,Scottsdale,Phoenix,16457.6529,159897088,Health,1
26079,9,264,Vacasa,Oregon,OR,Portland,Portland OR,16192.061,26263454,Travel & Hospitality,1
25861,10,11,Go Energies,North Carolina,NC,Wilmington,Wilmington NC,16006.8013,32851754,Energy,1
25231,11,113,Minute Key,Colorado,CO,Boulder,Boulder CO,14588.3448,15782039,Consumer Products & Services,1
26450,12,135,Sainstore,Kansas,KS,Lenexa,Waterloo-Cedar Falls IA,14086.513,19243863,Business Products & Services,1
22892,13,153,The HCI Group,Florida,FL,Jacksonville,Jacksonville FL,13230.9467,34583142,Health,2
26223,14,313,Dynamic Dental Partners Group,Florida,FL,Palmetto,Sarasota-Bradenton-Venice FL,12895.5867,19802935,Health,1
25021,15,159,Aseptia,North Carolina,NC,Raleigh,Raleigh-Cary NC,12427.4225,13887650,Food & Beverage,1
26535,16,34,Asentra Health,Hawaii,HI,Honolulu,Honolulu HI,12127.9133,20445071,Health,1
24632,17,436,American Solar Direct,California,CA,Los Angeles,Los Angeles,11560.3538,52086567,Energy,1
26246,18,42,Prescient Edge,Virginia,VA,McLean,Washington DC,11497.7718,12315210,Government Services,1
22962,19,27,BlueSquare Resolutions,Arizona,AZ,Scottsdale,Phoenix,11488.6004,46400872,Financial Services,2
25398,20,44,BES Design/Build,Alabama,AL,Fairhope,Daphne-Fairhope-Foley AL,11374.9136,11819161,Engineering,1
