rank,name,state,revenue,growth,industry,workers,founded,yrs_on_list,previous_workers,metro,city
1,Freestar,AZ,36.9 Million,36680.3882,Advertising & Marketing,40,2015,1,5,Phoenix,Phoenix
2,FreightWise,TN,33.6 Million,30547.9317,Logistics & Transportation,39,2015,1,8,Nashville,Brentwood
3,Cece's Veggie Co.,TX,24.9 Million,23880.4852,Food & Beverage,190,2015,1,10,Austin,Austin
4,LadyBoss,NM,32.4 Million,21849.8925,Consumer Products & Services,57,2014,1,2,,Albuquerque
5,Perpay,PA,22.5 Million,18166.407,Retail,25,2014,1,6,Philadelphia,Philadelphia
6,Cano Health,FL,271.8 Million,14183.4118,Health,742,2009,1,18,Miami,Miami
7,Bear Mattress,NJ,20.5 Million,13480.731,Consumer Products & Services,12,2014,1,1,New York City,Hoboken
8,Connected Solutions Group,VA,23.3 Million,12700.6588,Telecommunications,72,2015,1,1,"Richmond, VA",Mechanicsville
9,Providence Healthcare Management,OH,225.9 Million,12564.5364,Health,60,2008,1,10,Cleveland,Cleveland
10,NOM,CA,21.4 Million,11996.2964,Advertising & Marketing,37,2014,1,5,Los Angeles,Los Angeles
11,NuLeaf Naturals,CO,13.9 Million,11949.179,Consumer Products & Services,40,2014,1,2,Denver,Denver
12,Urgently,VA,30.3 Million,11632.8771,Logistics & Transportation,226,2013,1,18,"Washington, DC",VIenna
13,nutpods,WA,19.1 Million,11622.5291,Food & Beverage,23,2013,1,3,Seattle,Bellevue
14,YieldStreet,NY,19.1 Million,10561.7147,Financial Services,66,2015,1,10,New York City,New York
15,MuteSix,CA,17.3 Million,10175.7553,Advertising & Marketing,109,2014,3,8,Los Angeles,Los Angeles
16,Anchor Worldwide,NY,10.7 Million,9753.201,Advertising & Marketing,110,2015,1,3,New York City,New York
17,LendingPoint,GA,105.8 Million,9265.2406,Financial Services,190,2014,1,32,Atlanta,Kennesaw
18,With Clarity,NY,19 Million,9179.3319,Consumer Products & Services,14,2013,1,2,New York City,New York
19,Sonendo,CA,24.4 Million,8656.9532,Health,191,2006,1,66,Los Angeles,Laguna Hills
20,Kindred Bravely,CA,9.6 Million,8543.9808,Consumer Products & Services,35,2015,1,2,San Diego,Oceanside
21,Tailor Made Compounding,KY,10.2 Million,8327.0956,Health,45,2015,1,1,,Nicholasville
22,SD3IT,FL,11.9 Million,8282.8668,Computer Hardware,12,2014,1,2,,The Villages
23,ConvertKit,ID,13.8 Million,7965.9741,Software,37,2013,2,10,"Boise City-Nampa, ID",Boise
24,Printify,CA,10.5 Million,7926.4244,Software,70,2015,1,5,San Francisco,San Francisco
25,Awardco,UT,8.9 Million,7478.1478,Software,42,2015,1,2,"Provo-Orem, UT",Orem
26,Pegasus Optimization Managers,TX,128.2 Million,7426.8072,Energy,191,2015,1,14,,College Station
