Category: All categories

DMA,airline: (1/1/18 - 7/15/20),vacation: (1/1/18 - 7/15/20),car rental: (1/1/18 - 7/15/20)
Baton Rouge LA,60%,22%,18%
Honolulu HI,22%,27%,51%
Juneau AK,19%,26%,55%
Panama City FL,11%,54%,35%
Las Vegas NV,21%,25%,54%
Shreveport LA,47%,29%,24%
Ft. Myers-Naples FL,19%,36%,45%
Anchorage AK,29%,23%,48%
Orlando-Daytona Beach-Melbourne FL,17%,38%,45%
Fairbanks AK,24%,26%,50%
West Palm Beach-Ft. Pierce FL,21%,32%,47%
Miami-Ft. Lauderdale FL,24%,29%,47%
Zanesville OH,13%,64%,23%
Bend OR,18%,50%,32%
Savannah GA,13%,48%,39%
Tampa-St. Petersburg (Sarasota) FL,19%,36%,45%
Florence-Myrtle Beach SC,13%,50%,37%
Palm Springs CA,16%,45%,39%
Memphis TN,15%,37%,48%
Jacksonville FL,16%,39%,45%
Charleston-Huntington WV,10%,60%,30%
Evansville IN,12%,58%,30%
Atlanta GA,17%,36%,47%
Parkersburg WV,14%,57%,29%
Denver CO,20%,32%,48%
Wheeling WV-Steubenville OH,11%,56%,33%
Terre Haute IN,15%,59%,26%
New Orleans LA,36%,32%,32%
Clarksburg-Weston WV,10%,62%,28%
Cincinnati OH,14%,48%,38%
Mobile AL-Pensacola (Ft. Walton Beach) FL,16%,44%,40%
Pittsburgh PA,16%,50%,34%
Boston MA-Manchester NH,17%,47%,36%
Phoenix AZ,21%,32%,47%
Lima OH,15%,54%,31%
Youngstown OH,13%,54%,33%
Charleston SC,14%,43%,43%
Providence RI-New Bedford MA,14%,48%,38%
Knoxville TN,13%,52%,35%
Dayton OH,15%,48%,37%
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,12%,57%,31%
Traverse City-Cadillac MI,15%,50%,35%
Colorado Springs-Pueblo CO,20%,33%,47%
Salisbury MD,15%,50%,35%
Wilmington NC,15%,50%,35%
New York NY,20%,42%,38%
Indianapolis IN,15%,47%,38%
Louisville KY,14%,46%,40%
Lexington KY,13%,54%,33%
Macon GA,12%,48%,40%
Springfield-Holyoke MA,16%,48%,36%
Toledo OH,15%,51%,34%
St. Louis MO,15%,44%,41%
Albany-Schenectady-Troy NY,23%,44%,33%
Columbus OH,15%,46%,39%
Detroit MI,16%,38%,46%
Bowling Green KY,12%,56%,32%
Alexandria LA,16%,45%,39%
Portland OR,21%,43%,36%
Lake Charles LA,15%,46%,39%
Cleveland-Akron (Canton) OH,15%,46%,39%
Tallahassee FL-Thomasville GA,12%,42%,46%
Biloxi-Gulfport MS,18%,44%,38%
Reno NV,19%,37%,44%
Corpus Christi TX,42%,31%,27%
Jackson TN,12%,53%,35%
Wilkes Barre-Scranton PA,14%,53%,33%
Tri-Cities TN-VA,11%,57%,32%
Quincy IL-Hannibal MO-Keokuk IA,15%,57%,28%
Peoria-Bloomington IL,15%,48%,37%
Hartford & New Haven CT,17%,44%,39%
Buffalo NY,14%,45%,41%
Harrisburg-Lancaster-Lebanon-York PA,15%,51%,34%
Baltimore MD,27%,36%,37%
Lafayette LA,14%,48%,38%
San Francisco-Oakland-San Jose CA,27%,30%,43%
San Diego CA,23%,33%,44%
Rochester NY,16%,45%,39%
Elmira NY,15%,51%,34%
Bluefield-Beckley-Oak Hill WV,10%,60%,30%
Albany GA,10%,52%,38%
Springfield MO,15%,51%,34%
Chattanooga TN,13%,50%,37%
Jonesboro AR,13%,60%,27%
Norfolk-Portsmouth-Newport News VA,21%,38%,41%
Ft. Wayne IN,15%,49%,36%
Tucson (Sierra Vista) AZ,21%,32%,47%
Dothan AL,15%,40%,45%
Richmond-Petersburg VA,15%,44%,41%
Greenville-Spartanburg SC-Asheville NC-Anderson SC,15%,48%,37%
Burlington VT-Plattsburgh NY,16%,48%,36%
Philadelphia PA,18%,44%,38%
