Category: All categories

Region,airline: (1/1/18 - 7/15/20),vacation: (1/1/18 - 7/15/20),car rental: (1/1/18 - 7/15/20)
Hawaii,21%,28%,51%
Alaska,26%,23%,51%
Nevada,21%,28%,51%
Louisiana,42%,30%,28%
Florida,20%,35%,45%
District of Columbia,29%,28%,43%
New Hampshire,16%,53%,31%
Colorado,20%,33%,47%
Massachusetts,17%,47%,36%
Georgia,16%,39%,45%
Arizona,21%,31%,48%
New York,19%,43%,38%
Ohio,14%,48%,38%
Kentucky,13%,51%,36%
West Virginia,13%,56%,31%
South Carolina,14%,47%,39%
Pennsylvania,17%,47%,36%
Oregon,20%,44%,36%
Rhode Island,15%,45%,40%
Delaware,17%,45%,38%
Connecticut,17%,45%,38%
Indiana,15%,47%,38%
New Jersey,20%,45%,35%
Tennessee,15%,45%,40%
Alabama,14%,46%,40%
Maine,19%,47%,34%
Maryland,28%,34%,38%
Missouri,16%,43%,41%
Mississippi,16%,45%,39%
Vermont,16%,46%,38%
New Mexico,17%,33%,50%
Michigan,16%,42%,42%
California,24%,33%,43%
Arkansas,17%,49%,34%
Utah,19%,37%,44%
North Carolina,16%,44%,40%
Illinois,19%,42%,39%
Virginia,22%,40%,38%
Iowa,19%,47%,34%
Washington,24%,36%,40%
Wisconsin,18%,45%,37%
Wyoming,19%,40%,41%
Texas,24%,36%,40%
Montana,20%,40%,40%
Minnesota,20%,39%,41%
Oklahoma,18%,43%,39%
Idaho,21%,41%,38%
Kansas,19%,43%,38%
South Dakota,23%,47%,30%
Nebraska,20%,43%,37%
North Dakota,22%,42%,36%
