Category: All categories,,,
,,,
Week,airline: (United States),vacation: (United States),car rental: (United States)
1/7/2018,32,64,51
1/14/2018,31,63,51
1/21/2018,30,60,50
1/28/2018,30,61,49
2/4/2018,30,59,52
2/11/2018,30,58,55
2/18/2018,30,64,60
2/25/2018,33,61,60
3/4/2018,32,62,61
3/11/2018,33,62,61
3/18/2018,33,61,62
3/25/2018,30,63,61
4/1/2018,31,73,61
4/8/2018,30,66,60
4/15/2018,37,63,61
4/22/2018,31,60,62
4/29/2018,30,57,66
5/6/2018,30,57,64
5/13/2018,33,59,64
5/20/2018,31,63,67
5/27/2018,32,69,66
6/3/2018,34,69,70
6/10/2018,34,69,73
6/17/2018,33,72,73
6/24/2018,34,77,73
7/1/2018,33,75,72
7/8/2018,34,72,74
7/15/2018,33,70,74
7/22/2018,34,67,73
7/29/2018,33,65,69
8/5/2018,34,63,68
8/12/2018,36,58,67
8/19/2018,30,55,61
8/26/2018,29,50,59
9/2/2018,29,50,52
9/9/2018,29,42,53
9/16/2018,29,44,55
9/23/2018,27,42,51
9/30/2018,29,42,53
10/7/2018,27,44,51
10/14/2018,28,41,51
10/21/2018,27,39,47
10/28/2018,27,41,47
11/4/2018,27,45,49
11/11/2018,29,44,51
11/18/2018,29,51,46
11/25/2018,30,51,44
12/2/2018,26,55,45
12/9/2018,27,54,46
12/16/2018,28,62,52
12/23/2018,29,90,54
12/30/2018,31,69,50
1/6/2019,33,64,49
1/13/2019,30,61,50
1/20/2019,30,60,50
1/27/2019,28,56,50
2/3/2019,29,55,53
2/10/2019,30,56,57
2/17/2019,30,60,57
2/24/2019,31,56,60
3/3/2019,31,61,66
3/10/2019,52,59,67
3/17/2019,32,56,63
3/24/2019,32,58,63
3/31/2019,31,55,60
4/7/2019,29,53,63
4/14/2019,29,50,62
4/21/2019,28,52,60
4/28/2019,28,52,62
5/5/2019,29,50,63
5/12/2019,31,53,66
5/19/2019,30,59,69
5/26/2019,30,62,65
6/2/2019,30,62,70
6/9/2019,32,64,73
6/16/2019,32,70,75
6/23/2019,32,70,78
6/30/2019,31,65,79
7/7/2019,33,68,78
7/14/2019,32,67,78
7/21/2019,32,62,76
7/28/2019,30,60,73
8/4/2019,31,57,72
8/11/2019,31,54,69
8/18/2019,30,52,64
8/25/2019,29,47,61
9/1/2019,30,47,57
9/8/2019,28,42,59
9/15/2019,27,43,61
9/22/2019,27,43,61
9/29/2019,27,44,62
10/6/2019,32,42,60
10/13/2019,34,41,57
10/20/2019,26,43,58
10/27/2019,25,39,52
11/3/2019,26,47,57
11/10/2019,25,44,52
11/17/2019,26,48,56
11/24/2019,26,54,53
12/1/2019,28,57,53
12/8/2019,25,59,54
12/15/2019,26,68,60
12/22/2019,29,100,64
12/29/2019,29,71,60
1/5/2020,34,66,60
1/12/2020,31,63,61
1/19/2020,29,62,62
1/26/2020,28,56,56
2/2/2020,28,56,58
2/9/2020,30,58,63
2/16/2020,28,63,63
2/23/2020,30,57,62
3/1/2020,32,51,58
3/8/2020,46,49,57
3/15/2020,37,35,37
3/22/2020,24,30,25
3/29/2020,18,28,20
4/5/2020,17,29,21
4/12/2020,18,30,21
4/19/2020,16,31,22
4/26/2020,17,35,27
5/3/2020,20,40,33
5/10/2020,18,45,35
5/17/2020,17,55,43
5/24/2020,17,54,51
5/31/2020,19,55,48
6/7/2020,21,67,56
6/14/2020,19,66,59
6/21/2020,19,70,60
6/28/2020,17,60,57
7/5/2020,18,59,52
7/12/2020,15,65,50
