Category: All categories,,,,
,,,,
DMA,Taxi: (1/1/18 - 7/14/20),Uber: (1/1/18 - 7/14/20),Lyft: (1/1/18 - 7/14/20),Curb: (1/1/18 - 7/14/20)
Las Vegas NV,14%,61%,22%,3%
San Francisco-Oakland-San Jose CA,13%,60%,23%,4%
Miami-Ft. Lauderdale FL,18%,64%,15%,3%
Juneau AK,69%,23%,6%,2%
Orlando-Daytona Beach-Melbourne FL,19%,61%,16%,4%
Washington DC (Hagerstown MD),18%,62%,15%,5%
Los Angeles CA,13%,61%,20%,6%
New York NY,30%,53%,12%,5%
Chicago IL,19%,60%,16%,5%
San Diego CA,12%,61%,21%,6%
Seattle-Tacoma WA,19%,60%,16%,5%
Honolulu HI,27%,57%,13%,3%
Tampa-St. Petersburg (Sarasota) FL,20%,61%,14%,5%
Charleston SC,19%,64%,12%,5%
Atlanta GA,20%,56%,20%,4%
Boston MA-Manchester NH,25%,56%,14%,5%
West Palm Beach-Ft. Pierce FL,17%,62%,14%,7%
New Orleans LA,18%,58%,19%,5%
Austin TX,13%,61%,19%,7%
Baltimore MD,18%,57%,20%,5%
Philadelphia PA,18%,58%,18%,6%
Dallas-Ft. Worth TX,15%,64%,16%,5%
Phoenix AZ,17%,56%,21%,6%
Houston TX,16%,64%,15%,5%
Denver CO,16%,55%,22%,7%
Gainesville FL,15%,65%,14%,6%
Palm Springs CA,20%,56%,19%,5%
Ft. Myers-Naples FL,29%,54%,11%,6%
Pittsburgh PA,15%,61%,15%,9%
Jacksonville FL,23%,56%,15%,6%
Reno NV,26%,55%,13%,6%
Portland OR,20%,54%,19%,7%
Utica NY,54%,36%,6%,4%
Hartford & New Haven CT,21%,59%,13%,7%
Nashville TN,17%,55%,22%,6%
Bakersfield CA,25%,55%,14%,6%
Providence RI-New Bedford MA,24%,54%,15%,7%
Savannah GA,23%,57%,14%,6%
Memphis TN,17%,62%,15%,6%
San Antonio TX,17%,58%,18%,7%
Buffalo NY,26%,54%,13%,7%
Monterey-Salinas CA,24%,57%,13%,6%
Yuma AZ-El Centro CA,55%,34%,5%,6%
Sacramento-Stockton-Modesto CA,18%,53%,23%,6%
Richmond-Petersburg VA,18%,55%,20%,7%
El Paso TX,23%,62%,10%,5%
Tucson (Sierra Vista) AZ,23%,52%,20%,5%
Norfolk-Portsmouth-Newport News VA,20%,56%,18%,6%
Santa Barbara-Santa Maria-San Luis Obispo CA,20%,57%,15%,8%
Bangor ME,59%,31%,4%,6%
Fairbanks AK,47%,36%,13%,4%
Bend OR,28%,53%,12%,7%
Detroit MI,15%,56%,22%,7%
Syracuse NY,36%,48%,11%,5%
Rochester NY,23%,54%,14%,9%
Charlottesville VA,21%,58%,13%,8%
Boise ID,23%,56%,10%,11%
