Category: All categories,,,,
,,,,
Region,Taxi: (1/1/18 - 7/14/20),Uber: (1/1/18 - 7/14/20),Lyft: (1/1/18 - 7/14/20),Curb: (1/1/18 - 7/14/20)
District of Columbia,16%,63%,18%,3%
Nevada,15%,60%,22%,3%
Florida,19%,61%,15%,5%
California,14%,59%,22%,5%
New York,32%,52%,11%,5%
Hawaii,27%,56%,13%,4%
Maryland,19%,59%,17%,5%
Massachusetts,25%,56%,14%,5%
Illinois,21%,59%,15%,5%
New Jersey,28%,53%,14%,5%
Georgia,21%,56%,19%,4%
Washington,21%,58%,15%,6%
Arizona,18%,55%,21%,6%
Connecticut,21%,60%,12%,7%
Colorado,17%,56%,21%,6%
Rhode Island,21%,58%,14%,7%
Pennsylvania,19%,58%,16%,7%
Virginia,21%,58%,15%,6%
Texas,18%,60%,16%,6%
Louisiana,24%,54%,17%,5%
Oregon,26%,50%,17%,7%
Delaware,19%,57%,17%,7%
Tennessee,20%,55%,18%,7%
Alaska,47%,36%,12%,5%
South Carolina,24%,56%,13%,7%
New Mexico,22%,56%,15%,7%
North Carolina,24%,55%,14%,7%
Maine,51%,35%,7%,7%
Utah,18%,55%,18%,9%
Ohio,20%,56%,16%,8%
Missouri,24%,56%,12%,8%
Michigan,20%,53%,19%,8%
Minnesota,28%,47%,17%,8%
Indiana,23%,54%,15%,8%
Montana,30%,53%,8%,9%
Idaho,29%,51%,9%,11%
Oklahoma,26%,52%,15%,7%
Kansas,29%,53%,10%,8%
North Dakota,43%,36%,13%,8%
Wisconsin,28%,51%,12%,9%
Nebraska,23%,53%,14%,10%
Kentucky,27%,50%,15%,8%
New Hampshire,35%,47%,10%,8%
Iowa,31%,49%,11%,9%
Arkansas,30%,52%,10%,8%
Vermont,41%,42%,8%,9%
Alabama,27%,51%,12%,10%
Mississippi,30%,51%,11%,8%
Wyoming,42%,42%,7%,9%
West Virginia,39%,43%,9%,9%
South Dakota,35%,25%,30%,10%
