Category: All categories,,,,
,,,,
Week,Taxi: (United States),Uber: (United States),Lyft: (United States),Curb: (United States)
1/7/18,23,51,16,5
1/14/18,22,52,16,6
1/21/18,21,53,16,5
1/28/18,22,57,16,5
2/4/18,23,55,16,5
2/11/18,23,54,15,5
2/18/18,25,55,16,5
2/25/18,26,57,16,5
3/4/18,26,55,16,5
3/11/18,25,55,17,5
3/18/18,25,72,17,5
3/25/18,24,59,17,5
4/1/18,24,55,15,5
4/8/18,24,55,16,5
4/15/18,24,56,16,5
4/22/18,23,54,15,6
4/29/18,23,54,15,6
5/6/18,24,55,15,5
5/13/18,24,56,16,5
5/20/18,24,59,16,6
5/27/18,26,63,16,5
6/3/18,25,60,16,6
6/10/18,25,60,17,6
6/17/18,26,62,17,6
6/24/18,25,62,18,6
7/1/18,27,63,18,6
7/8/18,25,63,18,6
7/15/18,25,63,19,6
7/22/18,24,65,18,6
7/29/18,26,66,19,6
8/5/18,26,66,20,6
8/12/18,24,62,19,6
8/19/18,24,59,18,5
8/26/18,23,60,17,5
9/2/18,23,56,17,5
9/9/18,20,57,15,4
9/16/18,21,57,16,5
9/23/18,21,56,16,5
9/30/18,23,57,17,5
10/7/18,22,57,17,5
10/14/18,21,59,17,5
10/21/18,20,56,17,5
10/28/18,21,55,16,5
11/4/18,20,55,17,5
11/11/18,21,56,16,5
11/18/18,22,53,15,4
11/25/18,20,52,16,5
12/2/18,20,56,17,5
12/9/18,20,60,16,5
12/16/18,22,55,17,4
12/23/18,22,54,15,4
12/30/18,24,63,19,7
1/6/19,19,54,16,5
1/13/19,19,53,16,5
1/20/19,20,57,15,5
1/27/19,20,57,18,5
2/3/19,21,56,18,5
2/10/19,20,54,16,5
2/17/19,20,57,17,5
2/24/19,22,57,20,5
3/3/19,22,58,18,5
3/10/19,22,56,18,5
3/17/19,21,57,21,5
3/24/19,21,58,38,5
3/31/19,22,67,33,6
4/7/19,20,61,25,5
4/14/19,21,56,22,6
4/21/19,20,55,20,6
4/28/19,21,60,18,5
5/5/19,21,100,28,5
5/12/19,21,83,22,5
5/19/19,22,62,18,6
5/26/19,22,63,17,6
6/2/19,22,63,18,6
6/9/19,23,61,17,6
6/16/19,23,61,17,5
6/23/19,23,61,19,6
6/30/19,24,57,17,5
7/7/19,23,59,17,5
7/14/19,24,56,17,5
7/21/19,23,59,16,5
7/28/19,24,60,16,5
8/4/19,23,61,18,5
8/11/19,23,59,17,6
8/18/19,22,57,16,5
8/25/19,21,55,15,5
9/1/19,21,52,15,5
9/8/19,20,56,15,5
9/15/19,20,53,15,5
9/22/19,20,51,14,5
9/29/19,22,52,15,5
10/6/19,22,53,15,5
10/13/19,26,52,14,5
10/20/19,22,50,16,5
10/27/19,21,52,17,5
11/3/19,21,58,15,5
11/10/19,20,54,15,5
11/17/19,20,51,15,5
11/24/19,21,50,14,5
12/1/19,19,52,15,5
12/8/19,19,50,15,5
12/15/19,20,50,15,5
12/22/19,21,54,14,5
12/29/19,23,60,19,6
1/5/20,19,52,15,7
1/12/20,18,50,15,8
1/19/20,18,51,15,13
1/26/20,17,50,14,10
2/2/20,18,54,15,8
2/9/20,18,53,16,10
2/16/20,18,50,14,9
2/23/20,19,50,14,9
3/1/20,18,46,14,9
3/8/20,15,44,13,9
3/15/20,12,52,11,10
3/22/20,11,46,8,11
3/29/20,11,39,7,9
4/5/20,11,34,6,9
4/12/20,11,35,6,7
4/19/20,10,33,6,7
4/26/20,11,34,8,7
5/3/20,12,38,8,7
5/10/20,12,36,6,7
5/17/20,13,34,6,7
5/24/20,14,32,6,6
5/31/20,15,33,7,6
6/7/20,15,33,8,6
6/14/20,16,33,8,6
6/21/20,16,35,8,6
6/28/20,17,35,7,6
7/5/20,17,38,8,6
7/12/20,20,32,7,6
